PROJECT	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PXD000155	246763	241937	4826	40407	616
PXD000157	52294	51298	996	983	10
PXD000160	164024	160306	3718	4690	192
PXD000161	67255	66992	263	1446	5
PXD000162	156	137	19	18	15
PXD000164	441298	440527	771	83720	67
PXD000176	6576	6481	95	73	40
PXD000185	56418	56212	206	74	1
PXD000187	2260	1381	879	NA	820
PXD000189	602	597	5	133	NA
PXD000190	28615	27866	749	516	11
PXD000196	56594	55874	720	12	39
PXD000197	5815	3655	2160	426	947
PXD000201	383497	376420	7077	1121	30
PXD000210	34502	34308	194	476	3
PXD000211	20087	18403	1684	62	649
PXD000213	156	155	1	104	NA
PXD000216	170082	169777	305	5299	4
PXD000217	14950	13988	962	483	21
PXD000218	78580	77570	1010	1755	22
PXD000222	252548	245532	7016	4553	385
PXD000223	1048	1019	29	152	3
PXD000226	35854	21475	14379	5230	6241
PXD000235	27	26	1	NA	NA
PXD000247	16680	16540	140	49	12
PXD000249	7141	6539	602	NA	9
PXD000252	1271	1271	NA	46	NA
PXD000263	14371	13705	666	1343	111
PXD000264	117434	116884	550	73	8
PXD000265	7841	7132	709	78	216
PXD000276	75406	74129	1277	635	14
PXD000280	692	638	54	NA	NA
PXD000283	69768	67831	1937	4728	132
PXD000306	26001	25457	544	149	93
PXD000307	19979	18985	994	4344	53
PXD000311	22352	21478	874	419	19
PXD000312	29911	29554	357	16	1
PXD000314	37389	37255	134	17	NA
PXD000316	17029	17001	28	144	NA
PXD000318	141972	139624	2348	261	310
PXD000335	7866	7653	213	385	12
PXD000345	89239	85317	3922	1361	175
PXD000348	208	180	28	92	2
PXD000354	30342	30155	187	1438	34
PXD000355	19859	18765	1094	230	126
PXD000363	5223	4991	232	NA	2
PXD000375	18822	18266	556	143	16
PXD000378	457	444	13	NA	NA
PXD000383	392054	373096	18958	63965	3534
